CaseID,Title,Location,City,State,Latitude,Longitude,CF,CI,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Description,Date,Day of Week,Date - Detailed,Shooter Name,Number of shooters,Shooter Age(s),Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - Detailed,Type of Gun - General,Number of Shotguns,Number of Rifles,Number of Handguns,Total Number of Guns,Number of Automatic Guns,Number of Semi-Automatic Guns,Fate of Shooter at the scene,Fate of Shooter,Shooter's Cause of Death,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - Detailed,Targeted Victim/s - General,Possible Motive - Detailed,Possible Motive - General,History of Mental Illness - Detailed,History of Mental Illness - General
1,University of Texas at Austin,"Austin, Texas",Austin,Texas,30.1988873,-97.84415949,15,32,1,0,16,48,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",8/1/66,Monday,"Monday, August 01, 1966",Charles S. Whitman,1,25,25,Male,White American or European American,"Remington 700 ADL (6mm), Universal M1 carbine, Remington M 141 (.35 caliber), semi-automatic shotgun (12 gauge), S&W M19 (.357 Magnum), Luger P08 (9mm), Galesi-Brescia (.25 ACP)",Multiple guns,1,3,3,7,0,1,Deceased,Deceased,Killed,Yes,College/University/Adult education,Place of schooling,"Family, students, teachers,  and police",General public,"A task force of professionals known as the Connally Commission was ordered to examine the shooter's autopsy findings to determine his possible motives. Their report states that his brain tumor ""conceivably could have contributed to his inability to control his emotions and actions"". ",Mental illness,"Shooter had visited  a psychiatrist and several other doctors in the years prior to the shootings. He complained of searing headaches, depression and violent thoughts. His suicide note read: ""I do not really understand myself these days. I am supposed to be an average reasonable and intelligent young man. However, lately (I cannot recall when it started) I have been a victim of many unusual and irrational thoughts.""",Yes
2,Rose-Mar College of Beauty,"Mesa, Arizona",Mesa,Arizona,33.42268696,-111.8163202,5,1,0,0,5,6,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",11/12/66,Saturday,"Saturday, November 12, 1966",Robert Benjamin Smith,1,18,18,Male,White American or European American,.22 caliber pistol,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,None,"Four beauty school students, one client, and her two daughters.",Students/Classmates/Teacher,"When he was being arrested, the shooter announced: ""I wanted to get known, just wanted to get myself a name"". He was also diagnosed with schizophrenia. Mental illness, social, and two events in the summer of 1966 appear to have had an important role in transforming Smith from an oddball into a killer.",Mental illness,Diagnosed as schizophrenic. Possible psychopathy,Yes
3,New Orleans Police Shootings,"New Orleans, Louisiana",New Orleans,Louisiana,30.0687242,-89.93147412,4,8,5,5,10,22,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",12/31/72,Sunday,"Sunday, December 31, 1972",Mark James Robert Essex,1,23,23,Male,Black American or African American,"5-shot Ruger Model 44 (.44 caliber) semi-automatic carbine, Colt .38 caliber revolver",Multiple guns,0,1,1,2,0,1,Deceased,Deceased,Killed,No,Government facility,Local government,Police officers and members of the public,Government,"The shooter claimed he was subjected to two years of racial abuse during his time in the US Navy. After his discharge he became involved with black radicals in San Francisco, CA and later joined the New York Black Panthers. Before the attack, the shooter sent a letter to the local television station, announcing an attack to the police department citing the death of two innocent ""brothers"" as one of the main reasons for the attack.",Race,"During his time at the US Navy, the shooter signed a document wherein he acknowledged that he was being considered ""for an administrative discharge for reasons of unsuitability due to a character behavior disorder"".",Yes
4,Clara Barton Elementary School,"Chicago, Illinois",Chicago,Illinois,41.83928045,-87.68818145,1,3,0,0,1,4,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",1/17/74,Thursday,"Thursday, January 17, 1974",Steven Guy,1,14,14,Male,Unknown,".38 caliber snub-nose revolver, .45 caliber pistol",Handgun,0,0,2,2,0,0,Custody,Custody,Not applicable,Yes,Primary school,Place of schooling,"School principal, teachers, and school guard",Students/Classmates/Teacher,"Former student, upset at being expelled and placed in a social adjustment center",Expulsion/Suspension,The student was acquitted of murder charges by reason of insanity.,Yes
5,Olean High School,"Olean, New York",Olean,New York,42.08185369,-78.43213922,3,7,0,0,3,10,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",12/30/74,Monday,"Monday, December 30, 1974",Anthony F. Barbaro,1,17,17,Male,White American or European American,"Remington .30-06-caliber rifle with telescopic sight, 12-gauge shotgun",Multiple guns,1,1,0,2,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,School custodian and general public on the street,General public,"In a note explaining his motives Barbaro wrote: ""I guess I just wanted to kill the person I hate most -- myself, I just didn't have the courage. I wanted to die, but I couldn't do it, so I had to get someone to do it for me. It didn't work out.""",Mental illness,"In April 1975, the shooter entered a plea of not guilty by reason of insanity. However, he was found competent to stand trial. His defense attorney stated that the shooter had a ""serious, deep-rooted mental illness that precluded his conviction"". The shooter hanged himself in his cell on November 1, 1975.",No
6,Los Angeles Computer Learning Center,"Los Angeles, California",Los Angeles,California,34.17622092,-118.5399542,1,6,1,0,1,8,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",2/19/76,Thursday,"Thursday, February 19, 1976",Neil Jordan Liebeskind,1,18,18,Male,White American or European American,Sawed-off shotgun,Shotgun,1,0,0,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,Students,Students/Classmates/Teacher,"The shooting was apparently sparked, because of a dispute between the shooter and another student who left his motorcycle helmet in his seat.",Social dispute,Unknown,Unknown
7,Cal State Fullerton,"Fullerton, California",Fullerton,California,33.88404244,-117.92785,7,2,0,0,7,9,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others. ",7/12/76,Monday,"Monday, July 12, 1976",Edward Charles Allaway,1,37,37,Male,White American or European American,.22 caliber rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of business/employment,Coworkers,Colleague/Workmate/Business acquaintance,Employee thought his coworkers at the library were producing pornographic films featuring his ex-wife,Mental illness,"As an adult, the shooter began exhibiting symptoms of an unstable mentality, attempting suicide at least once, and he was forced to spend a month in a mental institution, where he received shock-therapy treatment. Later he was diagnosed as paranoid schizophrenic by medical professionals . He was ruled insane by a judge after being convicted of the murders by a jury.",Yes
8,Grover Cleveland Elementary School,"San Diego, California",San Diego,California,32.86357277,-117.1281628,2,8,0,1,2,11,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",1/29/79,Monday,"Monday, January 29, 1979",Brenda Ann Spencer,1,16,16,Female,White American or European American,.22 caliber Ruger 10/22 rifle,Rifle,0,1,0,1,0,1,Custody,Custody,Not applicable,Yes,Primary school,Place of residency,School children across the street from shooter's home,Students/Classmates/Teacher,"After her parents divorced, the shooter started to show symptoms of cruelty towards animals, vandalism and drug use. She vandalized the school the year before the shooting and according to a friend, the two were planning to kill a policemen.",Mental illness,"In early 1978, staff at a facility for problem pupils informed her parents that she was suicidal. In December a psychiatric evaluation arranged by her probation officer recommended her be admitted to a mental hospital due to her depressed state, but her father refused to give permission. After the shooting, the San Diego County district attorney's (DA) office, privately concluded that she was a sociopath (Anti-school). ",Yes
9,University of South Carolina,"Columbia, South Carolina",Columbia,South Carolina,34.05098834,-80.82077527,2,5,0,0,2,7,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",10/6/79,Saturday,"Saturday, October 06, 1979",Mark Houston,1,19,19,Male,Black American or African American,.32 caliber revolver,Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,College/University/Adult education,Place of schooling,"Students, no known motive",Students/Classmates/Teacher,No known motive,Unknown,Unknown,Unknown
10,Valley High School,"Las Vegas, Nevada",Las Vegas,Nevada,36.18931923,-115.3264875,1,2,0,0,1,3,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",3/19/82,Friday,"Friday, March 19, 1982",Patrick Henry Lizotte,1,17,17,Male,White American or European American,".22 caliber Sturm/Ruger single six, long-barrel revolver",Handgun,0,0,1,1,0,0,Custody,Custody,Not applicable,Yes,Secondary school,Place of schooling,Psychology and sociology teacher and two students,Students/Classmates/Teacher,"The shooter had been bullied for 12 years. He also had an obsession with gun. After the shooting, he was diagnosed as a paranoid schizophrenic. Multiple motives- Mental illness and Harassment",Multiple motives,"After his arrest, three court-appointed psychiatrists examined the shooter and concluded that he was psychotic at the time of the shooting and that he was not mentally competent to stand trial.",Yes
