MassShoootingsmin
CaseID,Title,City,State,Latitude,Longitude,Total Number of Victims
1,University of Texas at Austin,Austin,Texas,30.1988873,-97.84415949,48
2,Rose-Mar College of Beauty,Mesa,Arizona,33.42268696,-111.8163202,6
3,New Orleans Police Shootings,New Orleans,Louisiana,30.0687242,-89.93147412,22
4,Clara Barton Elementary School,Chicago,Illinois,41.83928045,-87.68818145,4
5,Olean High School,Olean,New York,42.08185369,-78.43213922,10
6,Los Angeles Computer Learning Center,Los Angeles,California,34.17622092,-118.5399542,8
7,Cal State Fullerton,Fullerton,California,33.88404244,-117.92785,9
8,Grover Cleveland Elementary School,San Diego,California,32.86357277,-117.1281628,11
9,University of South Carolina,Columbia,South Carolina,34.05098834,-80.82077527,7
10,Valley High School,Las Vegas,Nevada,36.18931923,-115.3264875,3
11,Welding shop in Miami,Miami,Florida,25.79653943,-80.20840397,11
13,Johnston Post Office,Johnston,South Carolina,33.83272887,-81.8051584,4
14,49th Street Elementary School,Los Angeles,California,34.17622092,-118.5399542,14
15,Ianni's Club in Dallas,Dallas,Texas,32.79480596,-96.76631094,7
16,McDonald's restaurant in San Ysidro,San Ysidro,California,32.555556,-117.047656,40
17,Goddard Junior High School,Goddard,Kansas,37.67129418,-97.55070476,4
18,Atlanta Post Office,Atlanta,Georgia,33.7629969,-84.4231328,3
19,New York Technical College,Brooklyn,New York,40.679276,-73.939513,5
20,"Post office in Edmond, Oklahoma",Edmond,Oklahoma,35.66889223,-97.41438792,20
21,Fergus County High School,Lewistown,Montana,47.03740653,-109.4844918,4
22,Palm Bay Shopping Centers,Palm Bay,Florida,27.98388983,-80.66662713,20
24,Electromagnetic Systems Laboratory (ESL),Sunnyvale,California,37.38344257,-122.0256185,11
25,Hubbard Woods Elementary School,Winnetka,Illinois,42.10648807,-87.74211141,8
26,Comet Auto Parts and Montefiore School,Chicago,Illinois,41.83928045,-87.68818145,6
27,Oakland Elementary School,Greenwood,South Carolina,34.1928952,-82.15355508,11
28,New Orleans Downtown Post Office,New Orleans,Louisiana,30.0687242,-89.93147412,4
29,Cleveland Elementary School,Stockton,California,37.96631812,-121.3018775,35
30,Orange Glenn Post Office,Escondido,California,33.13439925,-117.0722528,4
31,Standard Gravure Corporation,Louisville,Kentucky,38.249432,-85.726243,20
32,GMAC Loan Office,Jacksonville,Florida,30.33216122,-81.67576993,17
33,University of Iowa,Iowa City,Iowa,41.65589405,-91.53117986,6
34,Ridgewood Post Office,Ridgewood,New Jersey,40.98213277,-74.11264731,3
35,"Luby's Cafeteria in Killeen, Texas",Killeen,Texas,31.07925506,-97.73392317,43
36,Royal Oak Post Office,Royal Oak,Michigan,42.50840203,-83.15387427,9
37,Lindhurst High School,Olivehurst,California,39.08174985,-121.5549539,14
38,Palo Duro High School,Amarillo,Texas,35.18322484,-101.8805688,6
39,Schuyler County Office Building,Watkins Glen,New York,42.38013875,-76.86724659,4
40,Simon's Rock College of Bard,Great Barrington,Massachusetts,42.19358268,-73.36216339,6
41,Offices of Pettit & Martin in San Francisco,San Francisco,California,37.75457839,-122.4424343,14
42,Dearborn Post Office,Dearborn,Michigan,42.31269522,-83.21293244,3
43,Dana Point Post Office,Dana Point,California,33.47316083,-117.696399,6
44,Weber State University,Ogden,Utah,41.2281367,-111.9675317,3
45,Luigi's Restaurant in Fayetteville,Fayetteville,North Carolina,35.07997086,-79.03796125,12
46,Central Middle School,Sheridan,Wyoming,44.79051074,-106.9599165,4
47,Long Island Rail Road Commuter Train,Garden City,New York,40.72662266,-73.644712,25
48,Chuck E. Cheese in Aurora,Aurora,Colorado,39.69892933,-104.7871863,5
49,Chelsea High School,Chelsea,Michigan,42.31319376,-84.01868108,3
50,"Residence in Union, Kentucky",Union,Kentucky,38.95130818,-84.67066339,4
51,Fairchild Air Force Base Hospital,Fairchild Air Force Base,Washington,47.618456,-117.644099,27
52,Wickliffe Middle School,Wickliffe,Ohio,41.60713735,-81.46902046,4
53,Downtown Chapel Hill,Chapel Hill,North Carolina,35.92681467,-79.03850407,4
54,Montclair Post Office,Montclair,New Jersey,40.826184,-74.20862,5
55,Walter Rossler Company,Corpus Christi,Texas,27.73907518,-97.43073352,5
56,Richland High School,Lynnville,Tennessee,35.37810374,-87.00610559,3
57,Frontier Junior High School,Moses Lake,Washington,47.12189424,-119.2750699,4
58,Fort Lauderdale City Parks Office,Fort Lauderdale,Florida,26.11737018,-80.14865708,6
59,San Diego State University,San Diego,California,32.86357277,-117.1281628,3
60,Bethel Regional High School,Bethel,Alaska,60.79053882,-161.7927517,4
61,R.E. Phelon Company,Aiken,South Carolina,33.47524551,-81.72595949,7
62,Pearl High School,Pearl,Mississippi,32.27492783,-90.09470655,9
63,Heath High School,West Paducah,Kentucky,37.08506,-88.74422,8
64,Milwaukee Post Office,Milwaukee,Wisconsin,43.06420322,-87.96724385,3
65,Caltrans Maintenance Yard,Orange,California,33.78935598,-117.820412,6
66,Connecticut State Lottery Headquarters,Newington,Connecticut,41.68700845,-72.73083927,4
68,Parker Middle School Dance,Edinboro,Pennsylvania,41.87617136,-80.12459632,4
69,Thurston High School,Springfield,Oregon,44.05489698,-123.0075562,29
70,Riverside City Hall,Riverside,California,33.93814348,-117.3948409,6
72,Heritage High School,Conyers,Georgia,33.66086267,-84.02688527,6
73,Offices of All-Tech Investment Group and Momentum Securities,Atlanta,Georgia,33.7629969,-84.4231328,21
74,Wedgwood Baptist Church,Fort Worth,Texas,32.74802142,-97.31305148,14
75,Xerox Office Building,Honolulu,Hawaii,21.309106,-157.844998,7
76,Fort Gibson Middle School,Fort Gibson,Oklahoma,35.77669911,-95.25996596,4
77,Radisson Bay Harbor Inn,Tampa,Florida,27.99601861,-82.44503769,8
78,Edgewater Technology,Boston,Massachusetts,42.30904091,-71.10271358,7
79,Navistar International,Melrose Park,Illinois,41.90289602,-87.8643021,9
80,Santana High School,San Diego,California,32.86357277,-117.1281628,15
81,Appalachian School of Law,Grundy,Virginia,37.27537712,-82.09877234,6
82,University of Arizona College of Nursing,Tucson,Arizona,32.15358905,-110.9677647,3
83,Case Western Reserve University,Cleveland,Ohio,41.47657557,-81.68051502,3
84,Lockheed Martin,Meridian,Mississippi,32.38455246,-88.68967949,14
85,Windy City Core Supply Warehouse,Chicago,Illinois,41.83928045,-87.68818145,6
86,"Birchwood, Wisconsin",Birchwood,Wisconsin,45.65773714,-91.55077175,8
87,Damageplan show at the Alrosa Villa Nightclub,Columbus,Ohio,39.98861445,-82.98904135,11
88,Living Church of God,Brookfield,Wisconsin,43.06396691,-88.12299758,11
89,Red Lake High School,Red Lake,Minnesota,47.87067289,-95.00529009,14
90,Goleta Post Office,Goleta,California,34.43606107,-119.8593619,7
91,"Party in Capitol Hill, Seattle",Seattle,Washington,47.62199575,-122.323646,8
92,Essex Elementary School,Essex Junction,Vermont,44.49022039,-73.11400628,4
93,Orange High School,Hillsborough,North Carolina,36.04099857,-79.09701201,3
94,Duquesne University,Pittsburgh,Pennsylvania,40.43948548,-79.97631581,5
95,West Nickel Mines Amish School,Lancaster,Pennsylvania,40.04214385,-76.30100872,10
96,Trolley Square,Salt Lake City,Utah,40.77787404,-111.9312168,9
97,Springwater Trail High School,Gresham,Oregon,45.50216511,-122.4412759,10
98,Virginia Tech  Campus,Blacksburg,Virginia,37.22995471,-80.42768677,49
99,"Apartment in Crandon, Wisconsin",Crandon,Wisconsin,45.56871416,-88.89729022,7
100,SuccessTech Academy,Cleveland,Ohio,41.47657557,-81.68051502,4
101,South Middle School Football Game,Saginaw,Michigan,43.41929117,-83.95032759,4
102,Westroads Mall,Omaha,Nebraska,41.265922,-96.05381421,12
103,Youth With A Mission and New Life Church,Arvada,Colorado,39.81087474,-105.173715,9
104,Mojave High School Bus,Las Vegas,Nevada,36.18931923,-115.3264875,6
106,Kirkwood City Hall,Kirkwood,Missouri,38.57889169,-90.42023754,7
107,Northern Illinois University,DeKalb,Illinois,41.93172129,-88.74814853,22
108,Atlantis Plastics,Henderson,Kentucky,37.84040411,-87.57853755,7
109,South Mountain Community College,Phoenix,Arizona,33.57145875,-112.0904854,3
111,"Covina, California",Covina,California,34.09026669,-117.8819958,11
112,"Geneva County, Alabama",Geneva,Alabama,31.04367594,-85.8763466,16
113,"Rivermark, Santa Clara, California",Santa Clara,California,37.36463172,-121.9679315,6
114,Pinelake Health and Rehab nursing home,Carthage,North Carolina,35.33985609,-79.41381725,10
115,Immigration Services Center in Binghamton,Binghamton,New York,42.10140103,-75.90922294,17
116,Fort Hood Army Base,Fort Hood,Texas,31.13814354,-97.77797804,45
117,Parkland Coffee Shop,Lakewood,Washington,47.16267579,-122.5296574,4
118,University of Alabama in Huntsville,Huntsville,Alabama,34.72827538,-86.6723055,6
119,Hartford Beer Distributors,Manchester,Connecticut,41.78013821,-72.51918655,10
120,"Tucson, Arizona",Tucson,Arizona,32.15358905,-110.9677647,19
122,Southern Union State Community College,Opelika,Alabama,32.66240106,-85.37706931,4
123,Residences in Grand Rapids,Grand Rapids,Michigan,42.96920434,-85.66008902,9
124,Carson City IHOP,Carson City,Nevada,39.16464203,-119.7763025,11
125,Salon Meritage,Seal Beach,California,33.75432632,-118.0715378,9
126,Su Jung Health Sauna,Norcross,Georgia,33.94104379,-84.20985979,4
127,Chardon High School,Chardon,Ohio,41.58025541,-81.20812625,6
128,Oikos University,Oakland,California,37.79176806,-122.2153171,10
130,Cafe in Seattle,Seattle,Washington,47.62199575,-122.323646,6
131,University Heights Apartments in Auburn,Auburn,Alabama,32.60598014,-85.48989253,6
132,Movie Theater in Aurora,Denver,Colorado,39.72941874,-104.9825207,70
133,Sikh Temple in Wisconsin,Oak Creek,Wisconsin,42.88027442,-87.90087079,10
134,Accent Signage Systems in Minneapolis,Minneapolis,Minnesota,44.96358722,-93.26783687,8
135,The Spot Nightclub,Miami,Florida,25.79653943,-80.20840397,15
136,Azana Spa in Brookfield,Brookfield,Wisconsin,43.06396691,-88.12299758,7
137,Clackamas Town Center,Happy Valley,Oregon,45.44853107,-122.5440133,3
138,Sandy Hook Elementary School,Newtown,Connecticut,41.41190846,-73.31196267,29
139,South Valley Residence,Albuquerque,New Mexico,35.15290522,-106.7791378,5
140,Phoenix Law Firm,Phoenix,Arizona,33.57145875,-112.0904854,3
141,Los Angeles Police Department,Irvine,California,33.67803464,-117.773628,7
142,"Ladera Ranch, Santa Ana, Tustin and Orange",Ladera Ranch,California,33.54961059,-117.6415707,6
143,Pinewood Village Apartments,Federal Way,Washington,47.30909721,-122.3357553,4
144,Village of Manchester in Illinois,Manchester,Illinois,39.54231335,-90.33029852,7
145,Santa Monica College,Santa Monica,California,34.02319149,-118.4815644,8
146,Hialeah Apartments,Hialeah,Florida,25.85294547,-80.28316975,6
147,Ross Township Supervisor Council Meeting,Salisbury,Pennsylvania,39.75344279,-79.08435956,6
148,Oklahoma City Residence,Oklahoma City,Oklahoma,35.46779189,-97.5191631,4
149,Washington Navy Yard,Washington,District of Columbia,38.90480894,-77.01629717,15
150,Sparks Middle School,Sparks,Nevada,39.54058388,-119.748291,3
151,St. Aloysius Church,Spokane,Washington,47.67367375,-117.4159843,5
153,Tyler Courthouse,Tyler,Texas,32.3154272,-95.30501087,6
154,Mohawk and Herkimer Villages in New York,Mohawk,New York,43.0104011,-75.0075119,6
155,Los Angeles International Airport (LAX),Los Angeles,California,34.17622092,-118.5399542,4
156,Homes in Desoto and Dallas,Dallas,Texas,32.79480596,-96.76631094,8
156,Centennial Hill Bar & Grill,Montgomery,Alabama,32.34729571,-86.26730242,8
158,Fort Hood,Killeen,Texas,31.07925506,-97.73392317,19
159,Kennesaw FedEx,Kennesaw,Georgia,34.02529674,-84.61766831,6
160,Isla Vista,Isla Vista,California,34.4145857,-119.8581209,10
161,Seattle Pacific University,Seattle,Washington,47.62199575,-122.323646,3
163,Bourbon Street New Orleans,New Orleans,Louisiana,30.0687242,-89.93147412,10
164,Albuquerque Auto Shop,Albuquerque,New Mexico,35.15290522,-106.7791378,4
165,Marysville-Pilchuck High School,Marysville,Washington,48.04802409,-122.1359622,5
166,Florida State University,Tallahassee,Florida,30.4549394,-84.25264151,3
167,Cedarville Rancheria Tribe,Alturas,California,41.4911123,-120.549091,6
168,Massachusetts Abortion Clinic,Brookline,Massachusetts,42.32427392,-71.14080012,7
169,"Pennsburg, Souderton, Lansdale, Harleysville","Pennsburg, Souderton, Lansdale, Harleysville",Pennsylvania,40.39359306,-75.49640881,7
173,Moscow,Moscow,Idaho,46.73059479,-116.9990042,4
177,Queens,New York City,New York,40.68996411,-73.8720502,4
178,LaGrange,LaGrange,Georgia,33.03607062,-85.0287065,5
181,Chapel Hill,Chapel Hill,North Carolina,35.92681467,-79.03850407,3
182,Monroeville Macy's,Monroeville,Pennsylvania,40.4257455,-79.76092565,3
184,Tyrone,Tyrone,Missouri,37.204442,-91.876583,8
185,Morgantown,Morgantown,West Virginia,39.63400851,-79.94839325,4
186,Douglasville,Douglasville,Georgia,33.71059292,-84.71564276,6
187,McAvan's Pub,Syracuse,New York,43.04093416,-76.14376763,6
188,Clarkesville,Clarkesville,Georgia,34.61025711,-83.52918091,4
189,Killeen,Killeen,Texas,31.07925506,-97.73392317,4
190,Charlotte,Charlotte,North Carolina,35.226354,-80.836788,3
192,Tarboro,Tarboro,North Carolina,35.90434471,-77.55639964,3
194,Brookhaven,Brookhaven,Mississippi,31.58036482,-90.44323475,5
195,Cottonwood,Cottonwood,Alabama,31.0549687,-85.30100084,3
196,Mesa,Mesa,Arizona,33.42268696,-111.8163202,6
197,Little Water,Little Water,New Mexico,36.44329,-108.723281,3
198,Panama City Beach,Panama City Beach,Florida,30.22540212,-85.87371301,7
199,Tulsa,Tulsa,Oklahoma,36.13543238,-95.91316117,3
200,Daytona Beach,Daytona Beach,Florida,29.19313443,-81.10173014,4
203,Phoenix,Phoenix,Arizona,33.57145875,-112.0904854,4
204,Killeen,Killeen,Texas,31.07925506,-97.73392317,5
205,Gates Pub,Gates,New York,43.15693027,-77.69300856,7
207,Milwaukee,Milwaukee,Wisconsin,43.06420322,-87.96724385,5
208,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,Menasha,Wisconsin,44.20455909,-88.4484585,4
210,Tucson,Tucson,Arizona,32.15358905,-110.9677647,4
211,Club Maxey's,Decatur,Illinois,39.85566372,-88.93346458,5
212,Cleveland,Cleveland,Ohio,41.47657557,-81.68051502,3
213,Conyers,Conyers,Georgia,33.66086267,-84.02688527,4
214,Deer Lodge,Deer Lodge,Montana,46.39761858,-112.7329333,4
215,Mother Emanuel AME Church,Charleston,South Carolina,32.8129729,-79.96693995,9
219,Miami Gardens,Miami Gardens,Florida,25.94326707,-80.24253243,4
221,River Forest,River Forest,Illinois,41.89499946,-87.81941392,4
222,"Amnicola Training Center, Chattanooga",Chattanooga,Tennessee,35.09318123,-85.23676751,7
223,Suwanee,Suwanee,Georgia,34.05057545,-84.06872262,4
224,"Grand 16 Theatre, Louisiana",Lafayette,Louisiana,30.21233538,-92.0316453,11
225,"Houston, Texas",Houston,Texas,29.79705548,-95.36763856,8
227,Virginia WDBJ live TV interview shooting,Roanoke,Virginia,37.27823366,-79.95816104,3
228,"Bristol, Tennessee",Bristol,Tennessee,36.55605824,-82.21429551,4
229,"Clearbrook (Greenwood), Minnesota",Clearbrook,Minnesota,47.69618799,-95.42844094,4
230,"Platte, South Dakota",Platte,South Dakota,43.38682722,-98.84357239,5
231,Umpqua Community College,Roseburg,Oregon,43.22205555,-123.3522367,16
232,Northern Arizona University at Flagstaff Campus,Flagstaff,Arizona,35.1725658,-111.6585435,4
233,"King, North Carolina",King,North Carolina,36.27617912,-80.35501402,3
235,"Colerain Township, Ohio",Township of Colerain,Ohio,39.253268,-84.599655,3
236,Colorado Springs,Colorado Springs,Colorado,38.86730659,-104.7572279,3
237,"Oakland, Maine",Oakland,Maine,44.54994725,-69.70782299,3
238,"Inglis, Florida",Inglis,Florida,29.03270634,-82.65919302,3
239,"Waycross, GA",Waycross,Georgia,31.21094544,-82.35793452,3
240,"Jacksonville, Florida",Jacksonville,Florida,30.33216122,-81.67576993,4
241,"Tennessee Colony, Texas",Tennessee Colony,Texas,31.8076,-95.8069,6
242,"Columbus, Ohio",Columbus,Ohio,39.98861445,-82.98904135,4
244,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.86730659,-104.7572279,12
246,"Omaha, Nebraska",Omaha,Nebraska,41.3138,-96.0814,5
247,"Chesapeake, Virginia",Chesapeake,Virginia,36.7921,-76.3293,5
248,"Orlando, Florida",Orlando,Florida,28.4541,-81.4646,12
249,"Iuka, Mississippi",Iuka,Mississippi,34.7404,-88.1383,4
250,"Kalamazoo, Michigan",Kalamazoo,Michigan,42.2354,-85.676,8
251,"Glendale, Arizona",Glendale,Arizona,33.5927,-112.163,4
252,"Hesston, Kansas",Hesston,Kansas,38.1368,-97.4268,17
253,"Belfair, Washington",Belfair,Washington,47.5033,-122.931,4
254,"Woodbridge, Virginia",Woodbridge,Virginia,38.6697,-77.3524,4
255,"Chelsea, Massachusetts",Chelsea,Massachusetts,42.391764,-71.032828,7
256,"Kansas City, Kansas",Kansas City,Kansas,39.114053,-94.627464,5
259,"Louisville, Kentucky",Louisville,Kentucky,38.252665,-85.758456,3
260,"Sherman, Texas",Sherman,Texas,33.635662,-96.60888,3
261,"Lawrenceburg, Tennessee",Lawrenceburg,Tennessee,35.242302,-87.334739,3
262,"Louisburg, North Carolina",Louisburg,North Carolina,36.099039,-78.301106,3
263,"Richmond, Virginia",Richmond,Virginia,37.540725,-77.436048,3
267,"Gloucester County, VA, House Party",Ware Neck,Virginia,37.40264,-76.458559,4
268,Florida family murder,Crestview,Florida,30.754181,-86.572799,3
271,"Chesapeake, VA Family Murder Suicide",Chesapeake,Virginia,36.768209,-76.287493,5
