ACQ_YEAR,Name,n()
2001,-ande Ru Marangatu,9
2002,-ande Ru Marangatu,42
2003,-ande Ru Marangatu,8
2004,-ande Ru Marangatu,3
2005,-ande Ru Marangatu,9
2006,-ande Ru Marangatu,12
2007,-ande Ru Marangatu,34
2008,-ande Ru Marangatu,13
2009,-ande Ru Marangatu,3
2010,-ande Ru Marangatu,20
2011,-ande Ru Marangatu,8
2012,-ande Ru Marangatu,1
2013,-ande Ru Marangatu,9
2014,-ande Ru Marangatu,5
2015,-ande Ru Marangatu,5
2016,-ande Ru Marangatu,28
2017,-ande Ru Marangatu,62
2018,-ande Ru Marangatu,29
2019,-ande Ru Marangatu,54
2002,-gua Preta/Inari,1
2003,-gua Preta/Inari,3
2004,-gua Preta/Inari,2
2005,-gua Preta/Inari,3
2006,-gua Preta/Inari,2
2007,-gua Preta/Inari,8
2008,-gua Preta/Inari,1
2009,-gua Preta/Inari,1
2010,-gua Preta/Inari,5
2011,-gua Preta/Inari,3
2012,-gua Preta/Inari,2
2013,-gua Preta/Inari,1
2014,-gua Preta/Inari,3
2015,-gua Preta/Inari,2
2016,-gua Preta/Inari,5
2017,-gua Preta/Inari,1
2018,-gua Preta/Inari,2
2019,-gua Preta/Inari,2
2000,-guas Belas,2
2001,-guas Belas,2
2002,-guas Belas,6
2003,-guas Belas,6
2004,-guas Belas,3
2005,-guas Belas,9
2006,-guas Belas,3
2007,-guas Belas,1
2008,-guas Belas,3
2009,-guas Belas,7
2010,-guas Belas,3
2011,-guas Belas,3
2013,-guas Belas,4
2015,-guas Belas,1
2016,-guas Belas,1
2018,-guas Belas,5
2019,-guas Belas,1
2002,-guas Claras,1
2003,-guas Claras,5
2004,-guas Claras,2
2005,-guas Claras,4
2006,-guas Claras,7
2007,-guas Claras,8
2011,-guas Claras,1
2013,-guas Claras,1
2016,-guas Claras,1
2000,+vare I,1
2002,+vare I,19
2003,+vare I,15
2004,+vare I,27
2005,+vare I,33
2006,+vare I,21
2007,+vare I,29
2008,+vare I,15
2009,+vare I,23
2010,+vare I,43
2011,+vare I,5
2012,+vare I,23
2013,+vare I,22
2014,+vare I,8
2015,+vare I,30
2016,+vare I,47
2017,+vare I,48
2018,+vare I,17
2019,+vare I,15
2004,+vare II,1
2005,+vare II,1
2006,+vare II,2
2007,+vare II,2
2010,+vare II,6
2015,+vare II,2
2016,+vare II,1
2017,+vare II,3
2018,+vare II,2
2005,Acimp,1
2006,Aconp,1
2002,Aldeia Kondß,1
2003,Aldeia Kondß,3
2004,Aldeia Kondß,1
2006,Aldeia Kondß,2
2008,Aldeia Kondß,1
2009,Aldeia Kondß,1
2011,Aldeia Kondß,1
2012,Aldeia Kondß,1
2013,Aldeia Kondß,1
2017,Aldeia Kondß,7
2019,Aldeia Kondß,3
2005,Aldeia Limpo Verde,1
2009,Aldeia Limpo Verde,1
2010,Aldeia Limpo Verde,1
2013,Aldeia Limpo Verde,2
2015,Aldeia Limpo Verde,1
2017,Aldeia Limpo Verde,2
2019,Aldeia Limpo Verde,1
2002,Aldeia Velha,4
2003,Aldeia Velha,2
2004,Aldeia Velha,1
2005,Aldeia Velha,2
2006,Aldeia Velha,2
2010,Aldeia Velha,1
2012,Aldeia Velha,1
2013,Aldeia Velha,1
2014,Aldeia Velha,1
2015,Aldeia Velha,5
2016,Aldeia Velha,13
2019,Aldeia Velha,6
2000,Alto Rio Guamß,16
2001,Alto Rio Guamß,16
2002,Alto Rio Guamß,220
2003,Alto Rio Guamß,154
2004,Alto Rio Guamß,169
2005,Alto Rio Guamß,222
2006,Alto Rio Guamß,202
2007,Alto Rio Guamß,194
2008,Alto Rio Guamß,197
2009,Alto Rio Guamß,340
2010,Alto Rio Guamß,152
2011,Alto Rio Guamß,162
2012,Alto Rio Guamß,208
2013,Alto Rio Guamß,184
2014,Alto Rio Guamß,159
2015,Alto Rio Guamß,873
2016,Alto Rio Guamß,134
2017,Alto Rio Guamß,240
2018,Alto Rio Guamß,93
2019,Alto Rio Guamß,6
2000,Alto Rio Negro,3
2001,Alto Rio Negro,3
2002,Alto Rio Negro,23
2003,Alto Rio Negro,109
2004,Alto Rio Negro,156
