year,group,count
2000,nonindigenous,15196
2001,nonindigenous,136620
2002,nonindigenous,504657
2003,nonindigenous,529859
2004,nonindigenous,611052
2005,nonindigenous,605233
2006,nonindigenous,388794
2007,nonindigenous,661408
2008,nonindigenous,336232
2009,nonindigenous,239125
2010,nonindigenous,537672
2011,nonindigenous,255410
2012,nonindigenous,371911
2013,nonindigenous,206737
2014,nonindigenous,290011
2015,nonindigenous,393629
2016,nonindigenous,307558
2017,nonindigenous,357322
2018,nonindigenous,218250
2019,nonindigenous,246781
2000,indigenous,380
2001,indigenous,9092
2002,indigenous,19566
2003,indigenous,20444
2004,indigenous,23453
2005,indigenous,26592
2006,indigenous,17852
2007,indigenous,39123
2008,indigenous,18289
2009,indigenous,11391
2010,indigenous,46019
2011,indigenous,15881
2012,indigenous,30294
2013,indigenous,12163
2014,indigenous,22847
2015,indigenous,26197
2016,indigenous,26791
2017,indigenous,31908
2018,indigenous,13599
2019,indigenous,27138
