acq_year,groupname,count
2001,ande ru marangatu,9
2002,ande ru marangatu,42
2003,ande ru marangatu,8
2004,ande ru marangatu,3
2005,ande ru marangatu,9
2006,ande ru marangatu,12
2007,ande ru marangatu,34
2008,ande ru marangatu,13
2009,ande ru marangatu,3
2010,ande ru marangatu,20
2011,ande ru marangatu,8
2012,ande ru marangatu,1
2013,ande ru marangatu,9
2014,ande ru marangatu,5
2015,ande ru marangatu,5
2016,ande ru marangatu,28
2017,ande ru marangatu,62
2018,ande ru marangatu,29
2019,ande ru marangatu,54
2002,gua pretainari,1
2003,gua pretainari,3
2004,gua pretainari,2
2005,gua pretainari,3
2006,gua pretainari,2
2007,gua pretainari,8
2008,gua pretainari,1
2009,gua pretainari,1
2010,gua pretainari,5
2011,gua pretainari,3
2012,gua pretainari,2
2013,gua pretainari,1
2014,gua pretainari,3
2015,gua pretainari,2
2016,gua pretainari,5
2017,gua pretainari,1
2018,gua pretainari,2
2019,gua pretainari,2
2000,guas belas,2
2001,guas belas,2
2002,guas belas,6
2003,guas belas,6
2004,guas belas,3
2005,guas belas,9
2006,guas belas,3
2007,guas belas,1
2008,guas belas,3
2009,guas belas,7
2010,guas belas,3
2011,guas belas,3
2013,guas belas,4
2015,guas belas,1
2016,guas belas,1
2018,guas belas,5
2019,guas belas,1
2002,guas claras,1
2003,guas claras,5
2004,guas claras,2
2005,guas claras,4
2006,guas claras,7
2007,guas claras,8
2011,guas claras,1
2013,guas claras,1
2016,guas claras,1
2000,vare i,1
2002,vare i,19
2003,vare i,15
2004,vare i,27
2005,vare i,33
2006,vare i,21
2007,vare i,29
2008,vare i,15
2009,vare i,23
2010,vare i,43
2011,vare i,5
2012,vare i,23
2013,vare i,22
2014,vare i,8
2015,vare i,30
2016,vare i,47
2017,vare i,48
2018,vare i,17
2019,vare i,15
2004,vare ii,1
2005,vare ii,1
2006,vare ii,2
2007,vare ii,2
2010,vare ii,6
2015,vare ii,2
2016,vare ii,1
2017,vare ii,3
2018,vare ii,2
2005,acimp,1
2006,aconp,1
2002,aldeia kondß,1
2003,aldeia kondß,3
2004,aldeia kondß,1
2006,aldeia kondß,2
2008,aldeia kondß,1
2009,aldeia kondß,1
2011,aldeia kondß,1
2012,aldeia kondß,1
2013,aldeia kondß,1
2017,aldeia kondß,7
2019,aldeia kondß,3
2005,aldeia limpo verde,1
2009,aldeia limpo verde,1
2010,aldeia limpo verde,1
2013,aldeia limpo verde,2
2015,aldeia limpo verde,1
2017,aldeia limpo verde,2
2019,aldeia limpo verde,1
2002,aldeia velha,4
2003,aldeia velha,2
2004,aldeia velha,1
2005,aldeia velha,2
2006,aldeia velha,2
2010,aldeia velha,1
2012,aldeia velha,1
2013,aldeia velha,1
2014,aldeia velha,1
2015,aldeia velha,5
2016,aldeia velha,13
2019,aldeia velha,6
2000,alto rio guamß,16
2001,alto rio guamß,16
2002,alto rio guamß,220
2003,alto rio guamß,154
2004,alto rio guamß,169
2005,alto rio guamß,222
2006,alto rio guamß,202
2007,alto rio guamß,194
2008,alto rio guamß,197
2009,alto rio guamß,340
2010,alto rio guamß,152
2011,alto rio guamß,162
2012,alto rio guamß,208
2013,alto rio guamß,184
2014,alto rio guamß,159
2015,alto rio guamß,873
2016,alto rio guamß,134
2017,alto rio guamß,240
2018,alto rio guamß,93
2019,alto rio guamß,6
2000,alto rio negro,3
2001,alto rio negro,3
2002,alto rio negro,23
2003,alto rio negro,109
2004,alto rio negro,156
2005,alto rio negro,42
2006,alto rio negro,30
2007,alto rio negro,117
2008,alto rio negro,64
2009,alto rio negro,22
2010,alto rio negro,85
2011,alto rio negro,49
2012,alto rio negro,29
2013,alto rio negro,46
2014,alto rio negro,63
2015,alto rio negro,64
2016,alto rio negro,77
2017,alto rio negro,52
2018,alto rio negro,68
2019,alto rio negro,57
2002,alto rio purus,16
2003,alto rio purus,20
2004,alto rio purus,13
2005,alto rio purus,47
2006,alto rio purus,22
2007,alto rio purus,28
2008,alto rio purus,25
2009,alto rio purus,8
2010,alto rio purus,26
2011,alto rio purus,15
2012,alto rio purus,15
2013,alto rio purus,10
2014,alto rio purus,16
2015,alto rio purus,27
