acq_year,groupname,count
2001,inawebohona,334
2002,inawebohona,190
2003,inawebohona,589
2004,inawebohona,350
2005,inawebohona,716
2006,inawebohona,171
2007,inawebohona,1525
2008,inawebohona,271
2009,inawebohona,61
2010,inawebohona,2015
2011,inawebohona,92
2012,inawebohona,1744
2013,inawebohona,342
2014,inawebohona,868
2015,inawebohona,808
2016,inawebohona,1336
2017,inawebohona,1454
2018,inawebohona,292
2019,inawebohona,2173
2001,kadiwtu,632
2002,kadiwtu,1152
2003,kadiwtu,215
2004,kadiwtu,579
2005,kadiwtu,2028
2006,kadiwtu,752
2007,kadiwtu,1876
2008,kadiwtu,903
2009,kadiwtu,314
2010,kadiwtu,1719
2011,kadiwtu,669
2012,kadiwtu,290
2013,kadiwtu,719
2014,kadiwtu,178
2015,kadiwtu,673
2016,kadiwtu,1453
2017,kadiwtu,551
2018,kadiwtu,301
2019,kadiwtu,2026
2001,kraolandia,258
2002,kraolandia,597
2003,kraolandia,424
2004,kraolandia,664
2005,kraolandia,769
2006,kraolandia,411
2007,kraolandia,826
2008,kraolandia,515
2009,kraolandia,318
2010,kraolandia,948
2011,kraolandia,600
2012,kraolandia,773
2013,kraolandia,410
2014,kraolandia,745
2015,kraolandia,728
2016,kraolandia,520
2017,kraolandia,870
2018,kraolandia,235
2019,kraolandia,799
2001,maraiwatsede,202
2002,maraiwatsede,1794
2003,maraiwatsede,333
2004,maraiwatsede,1857
2005,maraiwatsede,595
2006,maraiwatsede,698
2007,maraiwatsede,1334
2008,maraiwatsede,561
2009,maraiwatsede,76
2010,maraiwatsede,871
2011,maraiwatsede,219
2012,maraiwatsede,279
2013,maraiwatsede,787
2014,maraiwatsede,704
2015,maraiwatsede,942
2016,maraiwatsede,928
2017,maraiwatsede,807
2018,maraiwatsede,585
2019,maraiwatsede,558
2001,parabubure,344
2002,parabubure,627
2003,parabubure,578
2004,parabubure,778
2005,parabubure,666
2006,parabubure,618
2007,parabubure,1146
2008,parabubure,709
2009,parabubure,258
2010,parabubure,1156
2011,parabubure,928
2012,parabubure,852
2013,parabubure,596
2014,parabubure,750
2015,parabubure,599
2016,parabubure,817
2017,parabubure,876
2018,parabubure,754
2019,parabubure,804
2001,parque do araguaia,1798
2002,parque do araguaia,2020
2003,parque do araguaia,1997
2004,parque do araguaia,1498
2005,parque do araguaia,2352
2006,parque do araguaia,1673
2007,parque do araguaia,4898
2008,parque do araguaia,2475
2009,parque do araguaia,437
2010,parque do araguaia,7694
2011,parque do araguaia,1846
2012,parque do araguaia,4490
2013,parque do araguaia,1013
2014,parque do araguaia,2235
2015,parque do araguaia,1852
2016,parque do araguaia,3360
2017,parque do araguaia,3632
2018,parque do araguaia,1319
2019,parque do araguaia,2559
2001,parque do tumucumaque,320
2002,parque do tumucumaque,791
2003,parque do tumucumaque,238
2004,parque do tumucumaque,1283
2005,parque do tumucumaque,350
2006,parque do tumucumaque,544
2007,parque do tumucumaque,306
2008,parque do tumucumaque,786
2009,parque do tumucumaque,895
2010,parque do tumucumaque,241
2011,parque do tumucumaque,645
2012,parque do tumucumaque,718
2013,parque do tumucumaque,280
2014,parque do tumucumaque,982
2015,parque do tumucumaque,586
2016,parque do tumucumaque,396
2017,parque do tumucumaque,815
2018,parque do tumucumaque,516
2019,parque do tumucumaque,309
2001,parque do xingu,238
2002,parque do xingu,408
2003,parque do xingu,429
2004,parque do xingu,418
2005,parque do xingu,471
2006,parque do xingu,494
2007,parque do xingu,1078
2008,parque do xingu,306
2009,parque do xingu,168
2010,parque do xingu,2094
2011,parque do xingu,791
2012,parque do xingu,682
2013,parque do xingu,275
2014,parque do xingu,779
2015,parque do xingu,706
2016,parque do xingu,1805
2017,parque do xingu,1052
2018,parque do xingu,344
2019,parque do xingu,903
2001,pimentel barbosa,554
2002,pimentel barbosa,674
2003,pimentel barbosa,780
2004,pimentel barbosa,535
2005,pimentel barbosa,707
2006,pimentel barbosa,475
2007,pimentel barbosa,1364
2008,pimentel barbosa,482
2009,pimentel barbosa,380
2010,pimentel barbosa,1408
2011,pimentel barbosa,434
2012,pimentel barbosa,693
2013,pimentel barbosa,401
2014,pimentel barbosa,868
2015,pimentel barbosa,666
2016,pimentel barbosa,916
2017,pimentel barbosa,839
2018,pimentel barbosa,448
2019,pimentel barbosa,1045
2001,raposa serra do sol,376
2002,raposa serra do sol,631
2003,raposa serra do sol,471
2004,raposa serra do sol,871
2005,raposa serra do sol,519
2006,raposa serra do sol,723
2007,raposa serra do sol,688
2008,raposa serra do sol,587
2009,raposa serra do sol,733
2010,raposa serra do sol,350
2011,raposa serra do sol,796
2012,raposa serra do sol,626
2013,raposa serra do sol,571
2014,raposa serra do sol,641
2015,raposa serra do sol,619
2016,raposa serra do sol,412
2017,raposa serra do sol,629
2018,raposa serra do sol,581
2019,raposa serra do sol,642
