acq_year,groupname,count
2000,alto rio guamß,16
2001,alto rio guamß,16
2002,alto rio guamß,220
2003,alto rio guamß,154
2004,alto rio guamß,169
2005,alto rio guamß,222
2006,alto rio guamß,202
2007,alto rio guamß,194
2008,alto rio guamß,197
2009,alto rio guamß,340
2010,alto rio guamß,152
2011,alto rio guamß,162
2012,alto rio guamß,208
2013,alto rio guamß,184
2014,alto rio guamß,159
2015,alto rio guamß,873
2016,alto rio guamß,134
2017,alto rio guamß,240
2018,alto rio guamß,93
2019,alto rio guamß,6
2000,apinayt,1
2001,apinayt,107
2002,apinayt,155
2003,apinayt,200
2004,apinayt,221
2005,apinayt,288
2006,apinayt,172
2007,apinayt,319
2008,apinayt,164
2009,apinayt,169
2010,apinayt,354
2011,apinayt,233
2012,apinayt,231
2013,apinayt,157
2014,apinayt,257
2015,apinayt,410
2016,apinayt,129
2017,apinayt,389
2018,apinayt,59
2019,apinayt,281
2001,apyterewa,6
2002,apyterewa,287
2003,apyterewa,320
2004,apyterewa,617
2005,apyterewa,1140
2006,apyterewa,686
2007,apyterewa,574
2008,apyterewa,688
2009,apyterewa,247
2010,apyterewa,433
2011,apyterewa,50
2012,apyterewa,174
2013,apyterewa,28
2014,apyterewa,192
2015,apyterewa,230
2016,apyterewa,23
2017,apyterewa,650
2018,apyterewa,202
2019,apyterewa,421
2000,arariboia,1
2001,arariboia,20
2002,arariboia,131
2003,arariboia,164
2004,arariboia,78
2005,arariboia,548
2006,arariboia,80
2007,arariboia,1682
2008,arariboia,117
2009,arariboia,70
2010,arariboia,897
2011,arariboia,88
2012,arariboia,1282
2013,arariboia,129
2014,arariboia,250
2015,arariboia,2100
2016,arariboia,839
2017,arariboia,972
2018,arariboia,38
2019,arariboia,117
2001,arees,72
2002,arees,175
2003,arees,450
2004,arees,183
2005,arees,317
2006,arees,72
2007,arees,948
2008,arees,55
2009,arees,127
2010,arees,1302
2011,arees,118
2012,arees,863
2013,arees,98
2014,arees,968
2015,arees,296
2016,arees,856
2017,arees,593
2018,arees,539
2019,arees,783
2000,awa,39
2001,awa,106
2002,awa,153
2003,awa,170
2004,awa,275
2005,awa,234
2006,awa,180
2007,awa,343
2008,awa,358
2009,awa,193
2010,awa,334
2011,awa,144
2012,awa,356
2013,awa,98
2014,awa,94
2015,awa,413
2016,awa,39
2017,awa,116
2018,awa,32
2019,awa,5
2001,bacurizinho,42
2002,bacurizinho,136
2003,bacurizinho,200
2004,bacurizinho,101
2005,bacurizinho,237
2006,bacurizinho,56
2007,bacurizinho,781
2008,bacurizinho,103
2009,bacurizinho,35
2010,bacurizinho,885
2011,bacurizinho,103
2012,bacurizinho,1077
2013,bacurizinho,175
2014,bacurizinho,972
2015,bacurizinho,551
2016,bacurizinho,407
2017,bacurizinho,940
2018,bacurizinho,120
2019,bacurizinho,155
2002,cachoeira seca,101
2003,cachoeira seca,162
2004,cachoeira seca,195
2005,cachoeira seca,201
2006,cachoeira seca,328
2007,cachoeira seca,172
2008,cachoeira seca,251
2009,cachoeira seca,202
2010,cachoeira seca,191
2011,cachoeira seca,102
2012,cachoeira seca,243
2013,cachoeira seca,39
2014,cachoeira seca,172
2015,cachoeira seca,228
2016,cachoeira seca,104
2017,cachoeira seca,353
2018,cachoeira seca,178
2019,cachoeira seca,184
2000,cana bravaguajajara,1
2001,cana bravaguajajara,23
2002,cana bravaguajajara,137
2003,cana bravaguajajara,203
2004,cana bravaguajajara,119
2005,cana bravaguajajara,299
2006,cana bravaguajajara,61
2007,cana bravaguajajara,743
2008,cana bravaguajajara,124
2009,cana bravaguajajara,45
2010,cana bravaguajajara,666
2011,cana bravaguajajara,77
2012,cana bravaguajajara,869
2013,cana bravaguajajara,241
2014,cana bravaguajajara,615
2015,cana bravaguajajara,811
2016,cana bravaguajajara,738
2017,cana bravaguajajara,1081
2018,cana bravaguajajara,543
2019,cana bravaguajajara,619
2001,inawebohona,334
2002,inawebohona,190
2003,inawebohona,589
2004,inawebohona,350
2005,inawebohona,716
2006,inawebohona,171
2007,inawebohona,1525
2008,inawebohona,271
2009,inawebohona,61
2010,inawebohona,2015
2011,inawebohona,92
2012,inawebohona,1744
2013,inawebohona,342
2014,inawebohona,868
2015,inawebohona,808
2016,inawebohona,1336
2017,inawebohona,1454
2018,inawebohona,292
2019,inawebohona,2173
2001,kadiwtu,632
2002,kadiwtu,1152
2003,kadiwtu,215
2004,kadiwtu,579
2005,kadiwtu,2028
2006,kadiwtu,752
2007,kadiwtu,1876
2008,kadiwtu,903
2009,kadiwtu,314
2010,kadiwtu,1719
2011,kadiwtu,669
2012,kadiwtu,290
2013,kadiwtu,719
2014,kadiwtu,178
2015,kadiwtu,673
2016,kadiwtu,1453
2017,kadiwtu,551
2018,kadiwtu,301
2019,kadiwtu,2026
2000,kanela,1
2001,kanela,104
2002,kanela,184
2003,kanela,303
2004,kanela,169
2005,kanela,309
2006,kanela,103
2007,kanela,403
2008,kanela,136
2009,kanela,232
2010,kanela,479
2011,kanela,269
2012,kanela,416
2013,kanela,235
2014,kanela,291
2015,kanela,307
2016,kanela,211
2017,kanela,307
2018,kanela,213
2019,kanela,344
2001,kanela memortumrt,78
2002,kanela memortumrt,130
2003,kanela memortumrt,190
2004,kanela memortumrt,131
2005,kanela memortumrt,176
2006,kanela memortumrt,208
2007,kanela memortumrt,256
2008,kanela memortumrt,103
2009,kanela memortumrt,93
2010,kanela memortumrt,340
2011,kanela memortumrt,127
2012,kanela memortumrt,297
2013,kanela memortumrt,171
2014,kanela memortumrt,247
2015,kanela memortumrt,262
2016,kanela memortumrt,129
2017,kanela memortumrt,261
2018,kanela memortumrt,139
2019,kanela memortumrt,180
2001,kayabi,30
2002,kayabi,269
2003,kayabi,299
2004,kayabi,602
2005,kayabi,702
2006,kayabi,283
2007,kayabi,370
2008,kayabi,150
2009,kayabi,95
2010,kayabi,280
2011,kayabi,109
2012,kayabi,358
2013,kayabi,35
2014,kayabi,89
2015,kayabi,189
2016,kayabi,97
2017,kayabi,84
2018,kayabi,46
2019,kayabi,36
2001,kayap,136
2002,kayap,188
2003,kayap,328
2004,kayap,268
2005,kayap,559
2006,kayap,272
2007,kayap,830
2008,kayap,416
2009,kayap,67
2010,kayap,2082
2011,kayap,170
2012,kayap,460
2013,kayap,240
2014,kayap,328
2015,kayap,301
2016,kayap,215
2017,kayap,1518
2018,kayap,66
2019,kayap,465
2000,kraolandia,1
2001,kraolandia,258
2002,kraolandia,597
2003,kraolandia,424
2004,kraolandia,664
2005,kraolandia,769
2006,kraolandia,411
2007,kraolandia,826
2008,kraolandia,515
2009,kraolandia,318
2010,kraolandia,948
2011,kraolandia,600
2012,kraolandia,773
2013,kraolandia,410
2014,kraolandia,745
2015,kraolandia,728
2016,kraolandia,520
2017,kraolandia,870
2018,kraolandia,235
2019,kraolandia,799
2001,manoki,36
2002,manoki,44
2003,manoki,216
2004,manoki,939
2005,manoki,776
2006,manoki,142
2007,manoki,207
2008,manoki,192
2009,manoki,109
2010,manoki,121
2011,manoki,68
2012,manoki,77
2013,manoki,128
2014,manoki,121
2015,manoki,374
2016,manoki,106
2017,manoki,184
2018,manoki,30
2019,manoki,175
2000,maraiwatsede,3
2001,maraiwatsede,202
2002,maraiwatsede,1794
2003,maraiwatsede,333
2004,maraiwatsede,1857
2005,maraiwatsede,595
2006,maraiwatsede,698
2007,maraiwatsede,1334
2008,maraiwatsede,561
2009,maraiwatsede,76
2010,maraiwatsede,871
2011,maraiwatsede,219
2012,maraiwatsede,279
2013,maraiwatsede,787
2014,maraiwatsede,704
2015,maraiwatsede,942
2016,maraiwatsede,928
2017,maraiwatsede,807
2018,maraiwatsede,585
2019,maraiwatsede,558
2001,marechal rondon,95
2002,marechal rondon,217
2003,marechal rondon,195
2004,marechal rondon,328
2005,marechal rondon,192
2006,marechal rondon,263
2007,marechal rondon,341
2008,marechal rondon,241
2009,marechal rondon,82
2010,marechal rondon,460
2011,marechal rondon,237
2012,marechal rondon,350
2013,marechal rondon,215
2014,marechal rondon,371
2015,marechal rondon,224
2016,marechal rondon,258
2017,marechal rondon,305
2018,marechal rondon,141
2019,marechal rondon,390
2000,menkn,1
2001,menkn,47
2002,menkn,361
2003,menkn,407
2004,menkn,406
2005,menkn,473
2006,menkn,147
2007,menkn,573
2008,menkn,60
2009,menkn,50
2010,menkn,128
2011,menkn,81
2012,menkn,88
2013,menkn,93
2014,menkn,61
2015,menkn,36
2016,menkn,87
2017,menkn,82
2018,menkn,102
2019,menkn,50
2001,merure,132
2002,merure,101
2003,merure,202
2004,merure,224
2005,merure,215
2006,merure,137
2007,merure,395
2008,merure,133
2009,merure,108
2010,merure,394
2011,merure,187
2012,merure,253
2013,merure,79
2014,merure,291
2015,merure,86
2016,merure,330
2017,merure,109
2018,merure,243
2019,merure,225
2000,nambikwara,3
2001,nambikwara,35
2002,nambikwara,97
2003,nambikwara,152
2004,nambikwara,249
2005,nambikwara,176
2006,nambikwara,203
2007,nambikwara,659
2008,nambikwara,112
2009,nambikwara,88
2010,nambikwara,779
2011,nambikwara,172
2012,nambikwara,242
2013,nambikwara,172
2014,nambikwara,73
2015,nambikwara,176
2016,nambikwara,131
2017,nambikwara,108
2018,nambikwara,67
2019,nambikwara,143
2001,parabubure,344
2002,parabubure,627
2003,parabubure,578
2004,parabubure,778
2005,parabubure,666
